reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
11,30,7,8,4,60,0,181.90725830000156,182.90755340000032,182.90755340000032,182.90755340000032,l,0.505413499995484,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,8,5,61,1,183.4406328000041,184.44055550000485,184.44055550000485,184.44055550000485,l,3.159894299998996,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,8,6,62,2,187.62532400000055,188.62385910000012,188.62385910000012,188.64075920000323,t,1.6372780999954557,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,9,0,63,0,190.29031610000675,191.29027110000607,191.29027110000607,191.29027110000607,t,1.0872919999965234,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,9,1,64,4,192.40696230000322,193.40700320000178,193.40700320000178,193.40700320000178,t,1.6972822999887285,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,9,2,65,5,195.12376490000315,196.12340090000362,196.12340090000362,196.12340090000362,t,0.8451606999951764,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,9,3,66,6,196.98993540000083,197.99028450000333,197.99028450000333,197.99028450000333,t,2.897343799995724,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,9,4,67,1,200.90649020000274,201.90663950000453,201.90663950000453,201.90663950000453,l,0.7665964999978314,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,9,5,68,3,202.69006700000318,203.68997780000063,203.68997780000063,203.68997780000063,l,0.9575663999930839,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,9,6,69,2,204.6729620000042,205.67326650000177,205.67326650000177,205.67326650000177,l,0.8632816999961506,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,10,0,70,0,206.5565529000014,207.5561566000033,207.5561566000033,207.5561566000033,t,0.7540869999938877,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,10,1,71,5,208.33995549999963,209.33958520000306,209.33958520000306,209.33958520000306,l,3.3365837999954238,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,10,2,72,1,212.70635330000368,213.70614670000214,213.70614670000214,213.70614670000214,l,0.8998948999942513,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,10,3,73,6,214.62242240000342,215.62258690000453,215.62258690000453,215.62258690000453,l,0.8306172999946284,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,10,4,74,4,216.4725649000029,217.47262450000562,217.47262450000562,217.47262450000562,t,1.3943253999968874,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,10,5,75,2,218.88916540000355,219.88913350000075,219.88913350000075,219.88913350000075,t,16.812118199995894,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,10,6,76,3,236.72157680000237,237.72209360000124,237.72209360000124,237.72209360000124,l,3.0956607999905827,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,11,0,77,1,240.83789640000032,241.83779810000124,241.83779810000124,241.83779810000124,l,0.7343915999954334,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,11,1,78,6,242.58812890000263,243.5881342000066,243.5881342000066,243.5881342000066,l,0.9236641999959829,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,11,2,79,3,244.53780410000036,245.53809210000327,245.53809210000327,245.53809210000327,t,22.86271509999642,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,11,3,80,4,268.4202970000042,269.4203097000063,269.4203097000063,269.4203097000063,l,1.7807830999954604,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,11,4,81,0,271.2199458000032,272.22024729999976,272.22024729999976,272.22024729999976,l,2.3475676999951247,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,11,5,82,2,274.5868294000029,275.58682039999985,275.58682039999985,275.58682039999985,l,0.9721641999931308,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,11,6,83,5,276.58655450000515,277.58673100000306,277.58673100000306,277.58673100000306,l,1.8688719999918249,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,12,0,84,6,279.4864865000054,280.48640060000616,280.48640060000616,280.48640060000616,t,0.9195377999931225,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,12,1,85,4,281.43660380000074,282.43631370000367,282.43631370000367,282.43631370000367,l,1.0107894999964628,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,12,2,86,3,283.46979250000004,284.46929850000015,284.46929850000015,284.46929850000015,t,0.7768886999911047,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,12,3,87,0,285.26908950000507,286.269395000003,286.269395000003,286.269395000003,l,0.9068734999964363,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,12,4,88,5,287.20257290000154,288.20300410000345,288.20300410000345,288.20300410000345,t,0.6251217999961227,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,12,5,89,1,288.8529017000037,289.8527342000016,289.8527342000016,289.8527342000016,l,0.8104009999951813,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,12,6,90,2,290.68620770000416,291.68596020000405,291.68596020000405,291.68596020000405,t,0.580436499993084,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,13,0,91,4,292.2861874000009,293.2857270000022,293.2857270000022,293.2857270000022,t,0.4466299999912735,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,13,1,92,0,293.7527329000004,294.75253320000047,294.75253320000047,294.75253320000047,t,4.939670899999328,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,13,2,93,2,299.71903840000596,300.71902310000587,300.71902310000587,300.71902310000587,l,0.4161428999941563,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
,,,,,,,301.1525486000028,302.1524019000062,302.1524019000062,302.1524019000062,,,,,,,,,,
